time,ax,ay,az,atotal
0.000,-0.23,-1.40,1.77,2.27
0.010,-0.66,-1.47,1.14,1.98
0.020,-1.04,-1.41,0.26,1.77
0.030,-1.28,-1.10,-0.63,1.80
0.040,-1.24,-0.62,-1.33,1.92
0.050,-1.09,-0.17,-1.72,2.05
0.060,-1.10,0.03,-1.69,2.02
0.070,-1.10,0.00,-1.22,1.65
0.080,-0.94,-0.16,-0.49,1.07
0.090,-0.67,-0.31,0.21,0.77
0.100,-0.40,-0.47,0.80,1.01
0.110,-0.28,-0.64,1.39,1.56
0.120,-0.23,-0.92,1.82,2.05
0.130,-0.26,-1.20,1.86,2.22
0.140,-0.50,-1.39,1.44,2.06
0.150,-0.74,-1.46,0.63,1.75
0.160,-0.85,-1.44,-0.36,1.71
0.170,-0.88,-1.29,-1.29,2.02
0.180,-0.83,-0.98,-1.99,2.37
0.190,-0.72,-0.63,-2.41,2.60
0.200,-0.64,-0.30,-2.54,2.63
0.210,-0.60,-0.02,-2.48,2.55
0.220,-0.51,0.20,-2.30,2.36
0.230,-0.33,0.42,-2.02,2.08
0.240,-0.20,0.58,-1.79,1.89
0.250,-0.15,0.68,-1.63,1.77
0.260,-0.07,0.77,-1.49,1.68
0.270,-0.05,0.80,-1.33,1.55
0.280,-0.11,0.79,-1.08,1.34
0.290,-0.23,0.83,-0.74,1.13
0.300,-0.34,0.89,-0.42,1.04
0.310,-0.37,0.94,-0.20,1.03
0.320,-0.44,0.95,-0.20,1.07
0.330,-0.52,0.95,-0.27,1.11
0.340,-0.56,0.96,-0.34,1.16
0.350,-0.59,1.01,-0.38,1.23
0.360,-0.54,1.03,-0.33,1.21
0.370,-0.54,0.95,-0.14,1.10
0.379,-0.55,0.79,0.19,0.98
0.390,-0.56,0.56,0.62,1.01
0.399,-0.57,0.31,1.07,1.25
0.410,-0.53,0.12,1.51,1.61
0.419,-0.41,0.06,1.79,1.84
0.429,-0.19,0.13,1.83,1.85
0.439,0.05,0.29,1.69,1.71
0.449,0.26,0.38,1.47,1.54
0.459,0.54,0.34,1.25,1.40
0.469,0.70,0.25,1.03,1.27
0.479,0.72,0.12,0.90,1.16
0.489,0.49,0.07,0.80,0.94
0.499,-0.01,0.19,0.70,0.72
0.509,-0.42,0.43,0.46,0.76
0.519,-0.36,0.56,0.10,0.67
0.529,-0.01,0.50,-0.28,0.57
0.539,0.28,0.43,-0.34,0.62
0.549,0.50,0.43,0.05,0.67
0.559,0.75,0.32,0.78,1.13
0.569,1.01,0.11,1.52,1.83
0.579,1.17,-0.11,2.03,2.35
0.589,1.13,-0.22,2.20,2.48
0.599,0.94,-0.34,1.90,2.14
0.609,0.71,-0.54,1.18,1.48
0.619,0.43,-0.77,0.49,1.01
0.629,0.04,-0.97,-0.03,0.97
0.639,-0.26,-1.06,-0.43,1.17
0.649,-0.39,-1.05,-0.71,1.33
0.659,-0.34,-0.94,-0.89,1.34
0.669,-0.25,-0.77,-0.95,1.24
0.679,-0.05,-0.58,-1.06,1.21
