time,ax,ay,az,atotal
0.000,1.04,0.06,-1.81,2.09
0.010,0.81,0.32,-1.95,2.13
0.020,0.23,0.51,-1.56,1.65
0.030,-0.22,0.67,-1.21,1.40
0.040,-0.44,0.64,-1.18,1.42
0.050,-0.53,0.64,-1.19,1.46
0.060,-0.44,0.70,-0.99,1.29
0.070,-0.33,0.73,-0.64,1.03
0.080,-0.20,0.87,-0.23,0.92
0.090,-0.11,1.00,0.12,1.01
0.100,0.01,1.16,0.33,1.20
0.110,0.17,1.27,0.40,1.34
0.121,0.29,1.13,0.44,1.24
0.130,0.36,0.88,0.54,1.09
0.140,0.32,0.57,0.78,1.02
0.150,0.14,0.21,1.24,1.27
0.160,-0.23,-0.05,1.83,1.85
0.171,-0.50,-0.05,2.16,2.22
0.180,-0.44,0.12,2.05,2.10
0.191,0.01,0.24,1.58,1.59
0.201,0.68,0.30,1.07,1.30
0.211,0.85,0.47,1.09,1.46
0.221,0.92,0.53,1.33,1.70
0.231,1.20,0.43,1.49,1.96
0.241,1.60,0.21,1.53,2.23
0.251,2.00,-0.08,1.33,2.40
0.261,2.21,-0.27,0.98,2.43
0.271,2.23,-0.42,0.61,2.35
0.281,2.00,-0.57,0.43,2.12
0.291,1.60,-0.80,0.51,1.86
0.301,0.99,-0.98,0.81,1.61
0.311,0.37,-1.12,1.26,1.73
0.321,0.11,-1.28,1.56,2.02
0.331,0.29,-1.32,1.50,2.02
0.341,0.72,-1.24,1.16,1.85
0.351,1.12,-1.13,0.60,1.70
0.361,1.45,-0.91,-0.09,1.71
0.371,1.68,-0.70,-0.69,1.95
0.381,1.73,-0.69,-1.11,2.17
0.391,1.56,-0.75,-1.28,2.16
0.401,1.18,-0.82,-1.21,1.87
0.411,0.77,-0.89,-1.07,1.59
0.421,0.52,-0.85,-1.00,1.42
0.431,0.45,-0.78,-1.04,1.38
0.441,0.53,-0.75,-1.23,1.53
0.451,0.60,-0.60,-1.42,1.65
0.461,0.54,-0.39,-1.56,1.69
0.472,0.49,-0.33,-1.66,1.76
0.482,0.60,-0.22,-1.86,1.96
0.492,0.67,-0.11,-2.02,2.13
0.502,0.66,-0.14,-2.09,2.19
0.512,0.60,-0.16,-2.06,2.15
0.522,0.53,-0.11,-2.01,2.08
0.532,0.45,0.06,-1.98,2.03
0.542,0.35,0.18,-1.86,1.90
0.552,0.20,0.18,-1.69,1.71
0.562,0.15,0.15,-1.71,1.72
0.572,0.21,0.15,-1.87,1.89
0.582,0.39,0.35,-2.25,2.31
0.592,0.54,0.57,-2.64,2.76
0.602,0.57,0.89,-2.85,3.04
0.612,0.38,1.09,-2.64,2.89
0.622,0.16,0.99,-1.94,2.19
0.632,0.14,0.84,-1.08,1.38
0.642,0.26,0.60,-0.34,0.74
0.652,0.63,0.34,0.14,0.73
0.662,1.04,0.12,-0.13,1.05
0.672,1.37,0.18,-0.57,1.49
0.682,1.37,0.46,-0.79,1.64
0.692,1.00,0.64,-0.70,1.38
0.702,0.40,0.63,-0.04,0.75
0.712,-0.27,0.20,0.67,0.75
0.722,-1.02,-0.55,0.56,1.29
0.732,-2.37,0.15,0.45,2.42
0.742,-3.91,1.23,-0.11,4.10
0.753,-4.61,1.24,-1.12,4.90
0.762,-3.77,0.24,-1.66,4.13
0.772,-2.50,-0.60,-2.07,3.30
0.782,-1.31,-0.89,-2.67,3.11
0.793,-0.93,-1.31,-3.09,3.48
0.802,-1.16,-1.21,-3.01,3.44
0.813,-1.46,-0.15,-1.88,2.39
